EmployeeNumber,Age,Age_group,Attrition,Attrition_flag,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,Salary_slab,MonthlyRate,NumCompaniesWorked,OverTime,OverTime_flag,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,Tenure_Group,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1,41,40-50,Yes,1,Travel_Rarely,1102,Sales,1,2,Life Sciences,2,Female,94,3,2,Sales Executive,4,Single,5993,Medium,19479,8,Yes,1,11,3,1,0,8,6-10,0,1,6,4,0,5
2,49,40-50,No,0,Travel_Frequently,279,Research & Development,8,1,Life Sciences,3,Male,61,2,2,Research Scientist,2,Married,5130,Medium,24907,1,No,0,23,4,4,1,10,6-10,3,3,10,7,1,7
4,37,30-40,Yes,1,Travel_Rarely,1373,Research & Development,2,2,Other,4,Male,92,2,1,Laboratory Technician,3,Single,2090,Low,2396,6,Yes,1,15,3,2,0,7,6-10,3,3,0,0,0,0
5,33,30-40,No,0,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,4,Female,56,3,1,Research Scientist,3,Married,2909,Low,23159,1,Yes,1,11,3,3,0,8,6-10,3,3,8,7,3,0
7,27,20-30,No,0,Travel_Rarely,591,Research & Development,2,1,Medical,1,Male,40,3,1,Laboratory Technician,2,Married,3468,Low,16632,9,No,0,12,3,4,1,6,6-10,3,3,2,2,2,2
8,32,30-40,No,0,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,4,Male,79,3,1,Laboratory Technician,4,Single,3068,Low,11864,0,No,0,13,3,3,0,8,6-10,2,2,7,7,3,6
10,59,50+,No,0,Travel_Rarely,1324,Research & Development,3,3,Medical,3,Female,81,4,1,Laboratory Technician,1,Married,2670,Low,9964,4,Yes,1,20,4,1,3,12,10+,3,2,1,0,0,0
11,30,30-40,No,0,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,Low,13335,1,No,0,22,4,2,1,1,0-2,2,3,1,0,0,0
12,38,30-40,No,0,Travel_Frequently,216,Research & Development,23,3,Life Sciences,4,Male,44,2,3,Manufacturing Director,3,Single,9526,Medium,8787,0,No,0,21,4,2,0,10,6-10,2,3,9,7,1,8
13,36,30-40,No,0,Travel_Rarely,1299,Research & Development,27,3,Medical,3,Male,94,3,2,Healthcare Representative,3,Married,5237,Medium,16577,6,No,0,13,3,2,2,17,10+,3,2,7,7,7,7
